suburb,postcode,suburb_postcode,state_long,zone
Batchelor,0845,BATCHELOR 0845,Northern Territory,Remote
Adelaide River,0846,ADELAIDE RIVER 0846,Northern Territory,Remote
Pine Creek,0847,PINE CREEK 0847,Northern Territory,Remote
Cossack,0850,COSSACK 0850,Northern Territory,Remote
Emungalan,0850,EMUNGALAN 0850,Northern Territory,Remote
Katherine,0850,KATHERINE 0850,Northern Territory,Remote
Katherine East,0850,KATHERINE EAST 0850,Northern Territory,Remote
Katherine South,0850,KATHERINE SOUTH 0850,Northern Territory,Remote
Lansdowne,0850,LANSDOWNE 0850,Northern Territory,Remote
Arnold,0852,ARNOLD 0852,Northern Territory,Remote
Baines,0852,BAINES 0852,Northern Territory,Remote
Barunga,0852,BARUNGA 0852,Northern Territory,Remote
Beswick,0852,BESWICK 0852,Northern Territory,Remote
Beswick Creek,0852,BESWICK CREEK 0852,Northern Territory,Remote
Binjari,0852,BINJARI 0852,Northern Territory,Remote
Birdum,0852,BIRDUM 0852,Northern Territory,Remote
Bradshaw,0852,BRADSHAW 0852,Northern Territory,Remote
Buchanan,0852,BUCHANAN 0852,Northern Territory,Remote
Bulman Weemol,0852,BULMAN WEEMOL 0852,Northern Territory,Remote
Creswell,0852,CRESWELL 0852,Northern Territory,Remote
Daguragu,0852,DAGURAGU 0852,Northern Territory,Remote
Daly Waters,0852,DALY WATERS 0852,Northern Territory,Remote
Delamere,0852,DELAMERE 0852,Northern Territory,Remote
Edith,0852,EDITH 0852,Northern Territory,Remote
Elsey,0852,ELSEY 0852,Northern Territory,Remote
Florina,0852,FLORINA 0852,Northern Territory,Remote
Flying Fox,0852,FLYING FOX 0852,Northern Territory,Remote
Gregory,0852,GREGORY 0852,Northern Territory,Remote
Gulung Mardrulk,0852,GULUNG MARDRULK 0852,Northern Territory,Remote
Gurindji,0852,GURINDJI 0852,Northern Territory,Remote
Jilkminggan,0852,JILKMINGGAN 0852,Northern Territory,Remote
Kalkarindji,0852,KALKARINDJI 0852,Northern Territory,Remote
Katherine,0852,KATHERINE 0852,Northern Territory,Remote
Lajamanu,0852,LAJAMANU 0852,Northern Territory,Remote
Larrimah,0852,LARRIMAH 0852,Northern Territory,Remote
Limmen,0852,LIMMEN 0852,Northern Territory,Remote
Manbulloo,0852,MANBULLOO 0852,Northern Territory,Remote
Maranboy,0852,MARANBOY 0852,Northern Territory,Remote
Mataranka,0852,MATARANKA 0852,Northern Territory,Remote
Mcarthur,0852,MCARTHUR 0852,Northern Territory,Remote
Miniyeri,0852,MINIYERI 0852,Northern Territory,Remote
Ngukurr,0852,NGUKURR 0852,Northern Territory,Remote
Nitmiluk,0852,NITMILUK 0852,Northern Territory,Remote
Numbulwar,0852,NUMBULWAR 0852,Northern Territory,Remote
Pellew Islands,0852,PELLEW ISLANDS 0852,Northern Territory,Remote
Pigeon Hole,0852,PIGEON HOLE 0852,Northern Territory,Remote
Robinson River,0852,ROBINSON RIVER 0852,Northern Territory,Remote
Sturt Plateau,0852,STURT PLATEAU 0852,Northern Territory,Remote
Tanami East,0852,TANAMI EAST 0852,Northern Territory,Remote
Timber Creek,0852,TIMBER CREEK 0852,Northern Territory,Remote
Top Springs,0852,TOP SPRINGS 0852,Northern Territory,Remote
Uralla,0852,URALLA 0852,Northern Territory,Remote
Venn,0852,VENN 0852,Northern Territory,Remote
Victoria River,0852,VICTORIA RIVER 0852,Northern Territory,Remote
Victoria River Downs,0852,VICTORIA RIVER DOWNS 0852,Northern Territory,Remote
Warumungu,0852,WARUMUNGU 0852,Northern Territory,Remote
